Year,iso_code3,ef_ippu_tonne_c4h5f5_per_mmm_gdp_product_use_ods_other
2014,GEO,0.0
2015,GEO,0.0
2016,GEO,0.0
2017,GEO,0.0
2018,GEO,0.0
2019,GEO,0.0
2020,GEO,0.0
2010,GHA,0.3815733911153423
2011,GHA,0.3726515294117432
2012,GHA,0.3810939693694211
2013,GHA,0.3760419163991726
2014,GHA,0.3604558721946769
2015,GHA,0.3339074181951633
2016,GHA,0.3264114518694572
2017,GHA,0.3274978476251154
2018,GHA,0.3382442578346025
2019,GHA,0.323275920270221
2020,GHA,0.3095762301570337
2010,GIB,0.0905389924244054
2011,GIB,0.089826518586637
2012,GIB,0.0931472214089331
2013,GIB,0.0930545965751637
2014,GIB,0.0901886410774951
2015,GIB,0.0843807897714961
2016,GIB,0.0852837071241739
2017,GIB,0.0882702276032264
2018,GIB,0.0938566671765083
2019,GIB,0.0921824287586885
2020,GIB,0.0905668744758565
2010,GIN,0.4881719393240232
2011,GIN,0.4915842235776735
2012,GIN,0.5166838896295659
2013,GIN,0.5225632460521585
2014,GIN,0.5122108905529134
2015,GIN,0.4842183761724511
2016,GIN,0.4647935783126546
2017,GIN,0.4588531731146308
2018,GIN,0.4671046855536487
2019,GIN,0.440666155048455
2020,GIN,0.4170601866068466
2010,GMB,0.0
2011,GMB,0.0
2012,GMB,0.0
2013,GMB,0.0
2014,GMB,0.0
2015,GMB,0.0
2016,GMB,0.0
2017,GMB,0.0
2018,GMB,0.0
2019,GMB,0.0
2020,GMB,0.0
2010,GNB,0.0
2011,GNB,0.0
2012,GNB,0.0
2013,GNB,0.0
2014,GNB,0.0
2015,GNB,0.0
2016,GNB,0.0
2017,GNB,0.0
2018,GNB,0.0
2019,GNB,0.0
2020,GNB,0.0
2010,GNQ,0.0675500874408194
2011,GNQ,0.0684384502460544
2012,GNQ,0.0723404357129234
2013,GNQ,0.0735486355361931
2014,GNQ,0.0724448555807396
2015,GNQ,0.0687990227305395
2016,GNQ,0.0746409089553074
2017,GNQ,0.0831330062772033
2018,GNQ,0.095388751543549
2019,GNQ,0.1014265035313918
2020,GNQ,0.1082802385356076
2010,GRC,0.0
2011,GRC,0.0
2012,GRC,0.0
2013,GRC,0.0
2014,GRC,0.0
2015,GRC,0.0
2016,GRC,0.0
2017,GRC,0.0
2018,GRC,0.0
2019,GRC,0.0
2020,GRC,0.0
2010,GRD,0.0
2011,GRD,0.0
2012,GRD,0.0
2013,GRD,0.0
2014,GRD,0.0
2015,GRD,0.0
2016,GRD,0.0
2017,GRD,0.0
2018,GRD,0.0
2019,GRD,0.0
2020,GRD,0.0
2010,GRL,0.0
2011,GRL,0.0
2012,GRL,0.0
2013,GRL,0.0
