"year","location_code","prodinit_ippu_glass_tonne"
2013,"DMA",150.033833743009
2014,"DMA",138.544085575996
2015,"DMA",198.348229473543
2016,"DMA",241.908198996805
2017,"DMA",145.954225610982
2018,"DMA",136.996121461091
2019,"DMA",166.201716780693
2020,"DMA",166.201716780693
2010,"DNK",161577.212675088
2011,"DNK",158728.032032143
2012,"DNK",135451.333344743
2013,"DNK",111159.76906604
2014,"DNK",117346.10147328
2015,"DNK",107446.747667925
2016,"DNK",124744.175378136
2017,"DNK",142296.080248285
2018,"DNK",124615.152471798
2019,"DNK",105606.920823052
2020,"DNK",101868.888819699
2010,"DOM",21239.9374831786
2011,"DOM",23061.9216499803
2012,"DOM",21069.8609628558
2013,"DOM",24454.1175735682
2014,"DOM",24670.020193074
2015,"DOM",32105.947345554
2016,"DOM",31208.0322434067
2017,"DOM",33143.0079769574
2018,"DOM",35817.5456594234
2019,"DOM",38647.3460647448
2020,"DOM",40022.0889332774
2010,"DZA",44175.3159331046
2011,"DZA",51241.3460384013
2012,"DZA",47848.99192876
2013,"DZA",52575.657674645
2014,"DZA",50483.4292800392
2015,"DZA",41779.1240138896
2016,"DZA",45495.3890198702
2017,"DZA",54030.5339533575
2018,"DZA",64591.0010040946
2019,"DZA",70223.6566760746
2020,"DZA",49571.6963285307
2010,"ECU",23196.647576976
2011,"ECU",35091.8160642716
2012,"ECU",24932.8018261603
2013,"ECU",24521.9718931741
2014,"ECU",29325.3893414838
2015,"ECU",27606.9711441172
2016,"ECU",32382.0506228358
2017,"ECU",36564.3631069558
2018,"ECU",36960.8294622997
2019,"ECU",33601.2696173966
2020,"ECU",29174.7360464457
2010,"EGY",211915.742866769
2011,"EGY",222301.556644302
2012,"EGY",246750.974256713
2013,"EGY",199547.191503328
2014,"EGY",233563.131070156
2015,"EGY",268811.547671403
2016,"EGY",314751.993662605
2017,"EGY",268199.294806119
2018,"EGY",272687.696259366
2019,"EGY",272842.5497863
2020,"EGY",311103.665096925
2010,"ERI",88.0107859997532
2011,"ERI",336.428947834774
2012,"ERI",212.219866917264
2013,"ERI",212.219866917264
2014,"ERI",212.219866917264
2015,"ERI",212.219866917264
2016,"ERI",212.219866917264
2017,"ERI",212.219866917264
2018,"ERI",212.219866917264
2019,"ERI",212.219866917264
2020,"ERI",212.219866917264
2010,"ESP",844140.945984253
2011,"ESP",810744.25713859
2012,"ESP",621851.390250379
2013,"ESP",706675.531308351
2014,"ESP",634857.771749576
2015,"ESP",616651.508174825
2016,"ESP",654901.886650695
2017,"ESP",685141.939002693
2018,"ESP",711257.77928307
2019,"ESP",678295.878642883
2020,"ESP",647435.089875955
2010,"EST",15896.3994361846
2011,"EST",17176.8286479027
2012,"EST",13816.1225816016
2013,"EST",16100.7618285209
2014,"EST",18429.1055955647
2015,"EST",16119.4123179408
2016,"EST",18083.2546946959
2017,"EST",21570.1543102304
2018,"EST",24580.8267994008
2019,"EST",23917.5994208145
2020,"EST",20640.0077948685
2010,"ETH",10795.6880794939
2011,"ETH",3831.9057070049
2012,"ETH",5463.2636489483
2013,"ETH",13952.7253142637
2014,"ETH",24961.8583609613
2015,"ETH",7914.14998518868
2016,"ETH",8017.02421459602
2017,"ETH",10285.5523022527
2018,"ETH",9737.08357754857
2019,"ETH",11837.3531303278
2020,"ETH",11955.9645538473
2010,"FIN",127632.099934849
2011,"FIN",138990.80998579
2012,"FIN",113724.183960435
2013,"FIN",112210.525762699
2014,"FIN",109635.767728569
2015,"FIN",100433.956083824
2016,"FIN",106945.898532965
2017,"FIN",98498.7019172939
2018,"FIN",102769.668173203
2019,"FIN",95063.660708968
2020,"FIN",90237.5684158497
2010,"FJI",627.832786844872
2011,"FJI",870.866847555568
2012,"FJI",779.370395800667
2013,"FJI",767.080945192837
2014,"FJI",777.55226318571
2015,"FJI",1100.74900834269
2016,"FJI",1231.97219747274
2017,"FJI",1067.01445491913
2018,"FJI",1272.30010003641
2019,"FJI",946.052654808986
2020,"FJI",1046.03959734912
2010,"FRA",1866299.29123898
2011,"FRA",1826204.95048194
2012,"FRA",1545935.88300513
2013,"FRA",1613740.19983252
2014,"FRA",1558495.89904848
2015,"FRA",1378050.5566247
2016,"FRA",1405999.28436933
2017,"FRA",1485366.94608722
2018,"FRA",1551989.00941408
2019,"FRA",1461594.93762228
2020,"FRA",1412801.64645105
2010,"FRO",289.80202418109
2011,"FRO",250.531596502702
2012,"FRO",177.32533214478
2013,"FRO",286.685262400385
2014,"FRO",341.011081755923
2015,"FRO",409.827886632378
2016,"FRO",499.633846602142
2017,"FRO",528.308242736348
2018,"FRO",420.645560946914
2019,"FRO",573.450564345913
2020,"FRO",473.876011426078
