Year,iso_code3,ef_ippu_tonne_cf4_per_tonne_production_metals
2012,FRA,1.605203732276151e-07
2013,FRA,1.301004251801738e-07
2014,FRA,1.5759404687217906e-07
2015,FRA,1.9428626567443114e-07
2016,FRA,1.6233484551548884e-07
2017,FRA,1.537528993554993e-07
2018,FRA,1.2978083212609813e-07
2019,FRA,2.064702665696665e-07
2020,FRA,2.2005657646231995e-07
2010,FRO,3.402769630936531e-05
2011,FRO,3.130637373867768e-05
2012,FRO,2.381542953582807e-05
2013,FRO,2.4854217309990643e-05
2014,FRO,1.548124204026236e-05
2015,FRO,2.2340248861040437e-05
2016,FRO,1.673930923489228e-05
2017,FRO,1.443159055786847e-05
2018,FRO,1.2050966135811798e-05
2019,FRO,1.5768876191867242e-05
2020,FRO,1.435007818198907e-05
2010,FSM,0.0
2011,FSM,0.0
2012,FSM,0.0
2013,FSM,0.0
2014,FSM,0.0
2015,FSM,0.0
2016,FSM,0.0
2017,FSM,0.0
2018,FSM,0.0
2019,FSM,0.0
2020,FSM,0.0
2010,GAB,0.0
2011,GAB,0.0
2012,GAB,0.0
2013,GAB,0.0
2014,GAB,0.0
2015,GAB,0.0
2016,GAB,0.0
2017,GAB,0.0
2018,GAB,0.0
2019,GAB,0.0
2020,GAB,0.0
2010,GBR,6.870303636608172e-07
2011,GBR,6.72146230798806e-07
2012,GBR,1.8732773440909585e-07
2013,GBR,1.0341388420689226e-07
2014,GBR,9.723030744525592e-08
2015,GBR,1.110859859255719e-07
2016,GBR,1.27790957862521e-07
2017,GBR,1.350101381575099e-07
2018,GBR,1.280198861727782e-07
2019,GBR,8.893448586367637e-08
2020,GBR,9.774345762294785e-08
2010,GEO,0.0
2011,GEO,0.0
2012,GEO,0.0
2013,GEO,0.0
2014,GEO,0.0
2015,GEO,0.0
2016,GEO,0.0
2017,GEO,0.0
2018,GEO,0.0
2019,GEO,0.0
2020,GEO,0.0
2010,GHA,0.0
2011,GHA,2.1603808124934403e-06
2012,GHA,1.2894669616191783e-06
2013,GHA,7.378529012465701e-07
2014,GHA,1.0428311991018487e-06
2015,GHA,5.870473043017334e-07
2016,GHA,5.006869280026099e-07
2017,GHA,4.879265539571203e-07
2018,GHA,5.792457320102387e-07
2019,GHA,4.807055245627253e-07
2020,GHA,3.167874186517756e-07
2010,GIB,0.0
2011,GIB,0.0
2012,GIB,0.0
2013,GIB,0.0
2014,GIB,0.0
2015,GIB,0.0
2016,GIB,0.0
2017,GIB,0.0
2018,GIB,0.0
2019,GIB,0.0
2020,GIB,0.0
2010,GIN,0.0
2011,GIN,0.0
2012,GIN,0.0
2013,GIN,0.0
2014,GIN,0.0
2015,GIN,0.0
2016,GIN,0.0
2017,GIN,0.0
2018,GIN,0.0
2019,GIN,0.0
2020,GIN,0.0
2010,GMB,0.0
2011,GMB,0.0
2012,GMB,0.0
2013,GMB,0.0
2014,GMB,0.0
2015,GMB,0.0
2016,GMB,0.0
2017,GMB,0.0
2018,GMB,0.0
