"year","location_code","prodinit_ippu_rubber_and_leather_tonne"
2013,"FRO",110.750468409643
2014,"FRO",126.880318227967
2015,"FRO",111.941647609149
2016,"FRO",120.997508048077
2017,"FRO",161.389829099207
2018,"FRO",197.614824954849
2019,"FRO",174.649341952351
2020,"FRO",191.346525013235
2010,"FSM",14.9979047757611
2011,"FSM",25.1936071493246
2012,"FSM",22.382569580767
2013,"FSM",18.2551903819525
2014,"FSM",25.3595408550721
2015,"FSM",14.0275652111721
2016,"FSM",12.6521896870803
2017,"FSM",9.66319523078369
2018,"FSM",12.1706563934833
2019,"FSM",11.2303306570054
2020,"FSM",16.9936848430559
2010,"GAB",1360.24340735181
2011,"GAB",1916.59216702446
2012,"GAB",1691.41019835623
2013,"GAB",1818.27683240405
2014,"GAB",1911.35975502993
2015,"GAB",1737.06281686008
2016,"GAB",1553.61206157661
2017,"GAB",1524.40427186239
2018,"GAB",1689.91735439437
2019,"GAB",1743.81481714366
2020,"GAB",2002.92977875216
2010,"GBR",348665.004693945
2011,"GBR",339016.52890013
2012,"GBR",338533.942116817
2013,"GBR",375156.376030751
2014,"GBR",408523.242022485
2015,"GBR",422313.72030327
2016,"GBR",378367.850692657
2017,"GBR",359267.575368177
2018,"GBR",374303.872234264
2019,"GBR",373538.098530976
2020,"GBR",394551.433434607
2010,"GEO",1117.64009972766
2011,"GEO",1240.32903720955
2012,"GEO",1519.19590062702
2013,"GEO",1874.18336619266
2014,"GEO",2047.93027128726
2015,"GEO",2014.49043866758
2016,"GEO",2001.72028242913
2017,"GEO",2221.45055269024
2018,"GEO",2311.19371200343
2019,"GEO",3031.47223737611
2020,"GEO",3162.31392598557
2010,"GHA",5501.00257280017
2011,"GHA",8596.5578198585
2012,"GHA",6733.51083328259
2013,"GHA",8678.56494692147
2014,"GHA",7510.56126749792
2015,"GHA",8002.93279423938
2016,"GHA",8327.53636506649
2017,"GHA",8962.05440929349
2018,"GHA",9456.68975667561
2019,"GHA",9105.92084093109
2020,"GHA",22615.7521279127
2010,"GIN",1322.89302660128
2011,"GIN",1719.9152791464
2012,"GIN",1497.34315490647
2013,"GIN",1886.71771165962
2014,"GIN",1901.44662581694
2015,"GIN",2331.1360752493
2016,"GIN",1570.83242802786
2017,"GIN",1881.36877920002
2018,"GIN",1856.43585241206
2019,"GIN",2484.15367342692
2020,"GIN",1730.49526240864
2010,"GMB",173.557998384744
2011,"GMB",191.235673262932
2012,"GMB",193.157620376142
2013,"GMB",180.431594060118
2014,"GMB",183.647493278235
2015,"GMB",221.077676954612
2016,"GMB",258.863828119828
2017,"GMB",232.630288817701
2018,"GMB",220.606884307319
2019,"GMB",326.418054615605
2020,"GMB",299.405303463641
2010,"GNB",358.695307837618
2011,"GNB",187.828849263616
2012,"GNB",355.300955345629
2013,"GNB",89.3757885484754
2014,"GNB",67.350672056548
2015,"GNB",57.5620588280566
2016,"GNB",65.2584475642095
2017,"GNB",35.4518075604342
2018,"GNB",29.4173687749131
2019,"GNB",44.4133380588182
2020,"GNB",50.5227820048762
2010,"GNQ",434.975564370177
2011,"GNQ",666.528845643183
2012,"GNQ",694.428711011874
2013,"GNQ",762.761874302902
2014,"GNQ",587.03136050764
2015,"GNQ",333.617071630149
2016,"GNQ",225.527707174811
2017,"GNQ",169.342841076121
2018,"GNQ",187.958838180433
2019,"GNQ",239.694590546449
2020,"GNQ",174.924074275479
2010,"GRC",28952.0863904478
2011,"GRC",22853.3193340293
2012,"GRC",19873.2738955773
2013,"GRC",22789.0341263085
2014,"GRC",21617.1912045355
2015,"GRC",20931.6791302535
2016,"GRC",20704.0432853282
2017,"GRC",18569.8772097816
2018,"GRC",18073.6043030616
2019,"GRC",20151.8755592682
2020,"GRC",21876.0904259225
2010,"GRL",51.9594288367933
2011,"GRL",49.1365419753384
2012,"GRL",54.2231568682928
2013,"GRL",76.4315492107572
2014,"GRL",78.3523382018516
2015,"GRL",69.2459904605295
2016,"GRL",82.9799100541275
2017,"GRL",95.8825724315319
2018,"GRL",75.2975792356791
2019,"GRL",102.334713302864
2020,"GRL",92.9819673322058
2010,"GTM",12827.4360090462
2011,"GTM",14215.8963592968
2012,"GTM",14165.2642594394
2013,"GTM",15721.577595261
2014,"GTM",14330.126591635
2015,"GTM",16086.7031650186
2016,"GTM",15102.6240457849
2017,"GTM",17404.7521369972
2018,"GTM",17117.4149558722
2019,"GTM",18647.3915688246
2020,"GTM",19710.9763205707
2010,"GUM",1565.89128873903
2011,"GUM",1434.61609178507
2012,"GUM",1500.68993018179
2013,"GUM",1271.19211276934
2014,"GUM",1061.21314655233
2015,"GUM",1120.05902526043
2016,"GUM",1289.85795574941
2017,"GUM",1233.54606890005
2018,"GUM",1442.14388885729
2019,"GUM",1513.18100837947
2020,"GUM",1406.8407404774
2010,"HKG",39224.3637088306
2011,"HKG",35111.7282069284
2012,"HKG",36716.1871923896
2013,"HKG",40491.1465030311
2014,"HKG",39815.6882456261
2015,"HKG",43462.4579717247
2016,"HKG",41696.0680062739
2017,"HKG",38453.913689638
2018,"HKG",38487.7174104005
2019,"HKG",38099.819128035
2020,"HKG",31018.43209243
2010,"HND",1547.23750310782
2011,"HND",1366.00830338145
2012,"HND",1834.30144180568
2013,"HND",1634.9004501303
2014,"HND",1611.6205178759
2015,"HND",1895.23302975242
2016,"HND",2021.4667617012
2017,"HND",1743.86959689415
2018,"HND",1689.20584283519
2019,"HND",1716.35186816027
2020,"HND",2122.62937577108
2010,"HRV",14021.6775202841
2011,"HRV",12843.0555394178
2012,"HRV",12122.0166272447
2013,"HRV",12726.3083028518
2014,"HRV",15786.5634028818
2015,"HRV",18262.1805892984
2016,"HRV",17720.7634635269
2017,"HRV",16725.0763329884
2018,"HRV",16330.1167320899
2019,"HRV",16055.9165343529
2020,"HRV",17323.5525726928
2010,"HTI",1156.09795452377
2011,"HTI",1010.4611128677
2012,"HTI",1339.65975711831
2013,"HTI",1367.90407495692
2014,"HTI",1282.09004751658
2015,"HTI",1240.86652388499
2016,"HTI",989.38842507903
2017,"HTI",1252.43597834781
2018,"HTI",1234.68173162955
2019,"HTI",1114.81538956489
2020,"HTI",1594.39061682296
2010,"HUN",36971.9147653799
2011,"HUN",40631.6743644261
2012,"HUN",43699.0527672032
2013,"HUN",49996.7491965352
2014,"HUN",50748.9103830962
2015,"HUN",52798.264574734
2016,"HUN",54628.3158972023
2017,"HUN",54565.325160149
2018,"HUN",60467.6878951795
