Year,iso_code3,ef_ippu_tonne_c2h3f3_per_mmm_gdp_product_use_ods_refrigeration
2033,MDG,1.1941759058156076
2034,MDG,1.1941759058156076
2035,MDG,1.1941759058156076
2036,MDG,1.1941759058156076
2037,MDG,1.1941759058156076
2038,MDG,1.1941759058156076
2039,MDG,1.1941759058156076
2040,MDG,1.1941759058156076
2041,MDG,1.1941759058156076
2042,MDG,1.1941759058156076
2043,MDG,1.1941759058156076
2044,MDG,1.1941759058156076
2045,MDG,1.1941759058156076
2046,MDG,1.1941759058156076
2047,MDG,1.1941759058156076
2048,MDG,1.1941759058156076
2049,MDG,1.1941759058156076
2050,MDG,1.1941759058156076
2021,MDV,0.0
2022,MDV,0.0
2023,MDV,0.0
2024,MDV,0.0
2025,MDV,0.0
2026,MDV,0.0
2027,MDV,0.0
2028,MDV,0.0
2029,MDV,0.0
2030,MDV,0.0
2031,MDV,0.0
2032,MDV,0.0
2033,MDV,0.0
2034,MDV,0.0
2035,MDV,0.0
2036,MDV,0.0
2037,MDV,0.0
2038,MDV,0.0
2039,MDV,0.0
2040,MDV,0.0
2041,MDV,0.0
2042,MDV,0.0
2043,MDV,0.0
2044,MDV,0.0
2045,MDV,0.0
2046,MDV,0.0
2047,MDV,0.0
2048,MDV,0.0
2049,MDV,0.0
2050,MDV,0.0
2021,MEX,0.2736801732450857
2022,MEX,0.2736801732450857
2023,MEX,0.2736801732450857
2024,MEX,0.2736801732450857
2025,MEX,0.2736801732450857
2026,MEX,0.2736801732450857
2027,MEX,0.2736801732450857
2028,MEX,0.2736801732450857
2029,MEX,0.2736801732450857
2030,MEX,0.2736801732450857
2031,MEX,0.2736801732450857
2032,MEX,0.2736801732450857
2033,MEX,0.2736801732450857
2034,MEX,0.2736801732450857
2035,MEX,0.2736801732450857
2036,MEX,0.2736801732450857
2037,MEX,0.2736801732450857
2038,MEX,0.2736801732450857
2039,MEX,0.2736801732450857
2040,MEX,0.2736801732450857
2041,MEX,0.2736801732450857
2042,MEX,0.2736801732450857
2043,MEX,0.2736801732450857
2044,MEX,0.2736801732450857
2045,MEX,0.2736801732450857
2046,MEX,0.2736801732450857
2047,MEX,0.2736801732450857
2048,MEX,0.2736801732450857
2049,MEX,0.2736801732450857
2050,MEX,0.2736801732450857
2021,MHL,0.0
2022,MHL,0.0
2023,MHL,0.0
2024,MHL,0.0
2025,MHL,0.0
2026,MHL,0.0
2027,MHL,0.0
2028,MHL,0.0
2029,MHL,0.0
2030,MHL,0.0
2031,MHL,0.0
2032,MHL,0.0
2033,MHL,0.0
2034,MHL,0.0
2035,MHL,0.0
2036,MHL,0.0
2037,MHL,0.0
2038,MHL,0.0
2039,MHL,0.0
2040,MHL,0.0
2041,MHL,0.0
2042,MHL,0.0
2043,MHL,0.0
2044,MHL,0.0
2045,MHL,0.0
2046,MHL,0.0
2047,MHL,0.0
2048,MHL,0.0
2049,MHL,0.0
2050,MHL,0.0
2021,MKD,0.0
2022,MKD,0.0
2023,MKD,0.0
2024,MKD,0.0
2025,MKD,0.0
2026,MKD,0.0
2027,MKD,0.0
2028,MKD,0.0
2029,MKD,0.0
2030,MKD,0.0
2031,MKD,0.0
2032,MKD,0.0
2033,MKD,0.0
2034,MKD,0.0
2035,MKD,0.0
2036,MKD,0.0
2037,MKD,0.0
2038,MKD,0.0
2039,MKD,0.0
2040,MKD,0.0
2041,MKD,0.0
2042,MKD,0.0
2043,MKD,0.0
2044,MKD,0.0
2045,MKD,0.0
2046,MKD,0.0
2047,MKD,0.0
2048,MKD,0.0
2049,MKD,0.0
2050,MKD,0.0
2021,MLI,0.6950350649028236
2022,MLI,0.6950350649028236
2023,MLI,0.6950350649028236
2024,MLI,0.6950350649028236
2025,MLI,0.6950350649028236
2026,MLI,0.6950350649028236
2027,MLI,0.6950350649028236
2028,MLI,0.6950350649028236
2029,MLI,0.6950350649028236
2030,MLI,0.6950350649028236
2031,MLI,0.6950350649028236
2032,MLI,0.6950350649028236
2033,MLI,0.6950350649028236
2034,MLI,0.6950350649028236
2035,MLI,0.6950350649028236
2036,MLI,0.6950350649028236
2037,MLI,0.6950350649028236
2038,MLI,0.6950350649028236
2039,MLI,0.6950350649028236
2040,MLI,0.6950350649028236
2041,MLI,0.6950350649028236
2042,MLI,0.6950350649028236
2043,MLI,0.6950350649028236
2044,MLI,0.6950350649028236
2045,MLI,0.6950350649028236
2046,MLI,0.6950350649028236
2047,MLI,0.6950350649028236
2048,MLI,0.6950350649028236
2049,MLI,0.6950350649028236
2050,MLI,0.6950350649028236
2021,MLT,1.3252706075767986
2022,MLT,1.3252706075767986
2023,MLT,1.3252706075767986
