,regio,time_period,ab_frac_trns_mtkm_dem_freight_road_heavy_freight
502,panama,34,0.6498421030593018
503,panama,35,0.6498421030593018
504,peru,0,0.6080264148297807
505,peru,1,0.6074234758504409
506,peru,2,0.606334144432244
507,peru,3,0.6051622800787505
508,peru,4,0.6040934864080129
509,peru,5,0.6037277426647483
510,peru,6,0.6037277426647483
511,peru,7,0.6037277426647483
512,peru,8,0.6037277426647483
513,peru,9,0.6037277426647483
514,peru,10,0.6037277426647483
515,peru,11,0.6037277426647483
516,peru,12,0.6037277426647483
517,peru,13,0.6037277426647483
518,peru,14,0.6037277426647483
519,peru,15,0.6037277426647483
520,peru,16,0.6037277426647483
521,peru,17,0.6037277426647483
522,peru,18,0.6037277426647483
523,peru,19,0.6037277426647483
524,peru,20,0.6037277426647483
525,peru,21,0.6037277426647483
526,peru,22,0.6037277426647483
527,peru,23,0.6037277426647483
528,peru,24,0.6037277426647483
529,peru,25,0.6037277426647483
530,peru,26,0.6037277426647483
531,peru,27,0.6037277426647483
532,peru,28,0.6037277426647483
533,peru,29,0.6037277426647483
534,peru,30,0.6037277426647483
535,peru,31,0.6037277426647483
536,peru,32,0.6037277426647483
537,peru,33,0.6037277426647483
538,peru,34,0.6037277426647483
539,peru,35,0.6037277426647483
540,paraguay,0,0.7266037692639536
541,paraguay,1,0.7266025901116879
542,paraguay,2,0.7266018714075148
543,paraguay,3,0.7266008777752575
544,paraguay,4,0.7266020650958349
545,paraguay,5,0.7266143951077428
546,paraguay,6,0.7266143951077428
547,paraguay,7,0.7266143951077428
548,paraguay,8,0.7266143951077428
549,paraguay,9,0.7266143951077428
550,paraguay,10,0.7266143951077428
551,paraguay,11,0.7266143951077428
552,paraguay,12,0.7266143951077428
553,paraguay,13,0.7266143951077428
554,paraguay,14,0.7266143951077428
555,paraguay,15,0.7266143951077428
556,paraguay,16,0.7266143951077428
557,paraguay,17,0.7266143951077428
558,paraguay,18,0.7266143951077428
559,paraguay,19,0.7266143951077428
560,paraguay,20,0.7266143951077428
561,paraguay,21,0.7266143951077428
562,paraguay,22,0.7266143951077428
563,paraguay,23,0.7266143951077428
564,paraguay,24,0.7266143951077428
565,paraguay,25,0.7266143951077428
566,paraguay,26,0.7266143951077428
567,paraguay,27,0.7266143951077428
568,paraguay,28,0.7266143951077428
569,paraguay,29,0.7266143951077428
570,paraguay,30,0.7266143951077428
571,paraguay,31,0.7266143951077428
572,paraguay,32,0.7266143951077428
573,paraguay,33,0.7266143951077428
574,paraguay,34,0.7266143951077428
575,paraguay,35,0.7266143951077428
576,el_salvador,0,0.7265000982158669
577,el_salvador,1,0.7265062618426441
578,el_salvador,2,0.7265010771638127
579,el_salvador,3,0.7265270112401024
580,el_salvador,4,0.7265067682214104
581,el_salvador,5,0.7265577083522223
582,el_salvador,6,0.7265577083522223
583,el_salvador,7,0.7265577083522223
584,el_salvador,8,0.7265577083522223
585,el_salvador,9,0.7265577083522223
586,el_salvador,10,0.7265577083522223
587,el_salvador,11,0.7265577083522223
588,el_salvador,12,0.7265577083522223
589,el_salvador,13,0.7265577083522223
590,el_salvador,14,0.7265577083522223
591,el_salvador,15,0.7265577083522223
592,el_salvador,16,0.7265577083522223
593,el_salvador,17,0.7265577083522223
594,el_salvador,18,0.7265577083522223
595,el_salvador,19,0.7265577083522223
596,el_salvador,20,0.7265577083522223
597,el_salvador,21,0.7265577083522223
598,el_salvador,22,0.7265577083522223
599,el_salvador,23,0.7265577083522223
600,el_salvador,24,0.7265577083522223
601,el_salvador,25,0.7265577083522223
602,el_salvador,26,0.7265577083522223
603,el_salvador,27,0.7265577083522223
604,el_salvador,28,0.7265577083522223
605,el_salvador,29,0.7265577083522223
606,el_salvador,30,0.7265577083522223
607,el_salvador,31,0.7265577083522223
608,el_salvador,32,0.7265577083522223
609,el_salvador,33,0.7265577083522223
610,el_salvador,34,0.7265577083522223
611,el_salvador,35,0.7265577083522223
612,uruguay,0,0.5822179840758142
613,uruguay,1,0.5852366998951349
614,uruguay,2,0.5881463566538057
615,uruguay,3,0.5909601555585562
616,uruguay,4,0.5936948642894757
617,uruguay,5,0.596363256481361
618,uruguay,6,0.596363256481361
619,uruguay,7,0.596363256481361
620,uruguay,8,0.596363256481361
621,uruguay,9,0.596363256481361
622,uruguay,10,0.596363256481361
623,uruguay,11,0.596363256481361
624,uruguay,12,0.596363256481361
625,uruguay,13,0.596363256481361
626,uruguay,14,0.596363256481361
627,uruguay,15,0.596363256481361
628,uruguay,16,0.596363256481361
629,uruguay,17,0.596363256481361
630,uruguay,18,0.596363256481361
631,uruguay,19,0.596363256481361
632,uruguay,20,0.596363256481361
633,uruguay,21,0.596363256481361
634,uruguay,22,0.596363256481361
635,uruguay,23,0.596363256481361
636,uruguay,24,0.596363256481361
637,uruguay,25,0.596363256481361
638,uruguay,26,0.596363256481361
639,uruguay,27,0.596363256481361
640,uruguay,28,0.596363256481361
641,uruguay,29,0.596363256481361
642,uruguay,30,0.596363256481361
643,uruguay,31,0.596363256481361
644,uruguay,32,0.596363256481361
645,uruguay,33,0.596363256481361
646,uruguay,34,0.596363256481361
647,uruguay,35,0.596363256481361
